	Unnamed: 0.13	Unnamed: 0.12	Unnamed: 0.11	Unnamed: 0.10	Unnamed: 0.9	Unnamed: 0.8	Unnamed: 0.7	Unnamed: 0.6	Unnamed: 0.5	Unnamed: 0.4	Unnamed: 0.3	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	AUC	logloss	average_precision	balanced_accuracy	accuracy_score	precision	recall	mcc	dataset	sample_fraction
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9813096157947352	0.146490856485583	0.9939537493129572	0.9104543484569269	0.9330542481468204	0.9572292384232682	0.9542929524158348	0.818254197326464	test	0.3
1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9819756415134	0.1439140967919988	0.9942322574361002	0.912449620662177	0.9332970985163	0.9588298525798524	0.9528889295852028	0.819562357994338	test	0.7
2	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0		0.9818539784141276	0.1452865469379555	0.9941992711110464	0.9119164669173814	0.933424305852694	0.9583020227889644	0.9536367243536916	0.819628176562256	test	1.0
3	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0			0.9818539784141276	0.1452865469379555	0.9941992711110464	0.9119164669173814	0.933424305852694	0.9583020227889644	0.9536367243536916	0.819628176562256	test	-1.0
4	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	0.0				0.9813096157947352	0.146490856485583	0.9939537493129572	0.9104543484569269	0.9330542481468204	0.9572292384232682	0.9542929524158348	0.818254197326464	test	0.3
5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	0.0					0.9819756415134	0.1439140967919988	0.9942322574361002	0.912449620662177	0.9332970985163	0.9588298525798524	0.9528889295852028	0.819562357994338	test	0.7
6	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	0.0						0.9818539784141276	0.1452865469379555	0.9941992711110464	0.9119164669173814	0.933424305852694	0.9583020227889644	0.9536367243536916	0.819628176562256	test	1.0
7	7.0	7.0	7.0	7.0	7.0	7.0	7.0	0.0							0.9813096157947352	0.146490856485583	0.9939537493129572	0.9104543484569269	0.9330542481468204	0.9572292384232682	0.9542929524158348	0.818254197326464	test	0.3
8	8.0	8.0	8.0	8.0	8.0	8.0	0.0								0.9813096157947352	0.146490856485583	0.9939537493129572	0.9104543484569269	0.9330542481468204	0.9572292384232682	0.9542929524158348	0.818254197326464	test	0.3
9	9.0	9.0	9.0	9.0	9.0	0.0									0.9819756415134	0.1439140967919988	0.9942322574361002	0.912449620662177	0.9332970985163	0.9588298525798524	0.9528889295852028	0.819562357994338	test	0.7
10	10.0	10.0	10.0	10.0	0.0										0.9818539784141276	0.1452865469379555	0.9941992711110464	0.9119164669173814	0.933424305852694	0.9583020227889644	0.9536367243536916	0.819628176562256	test	1.0
11	11.0	11.0	11.0	0.0											0.9818539784141276	0.1452865469379555	0.9941992711110464	0.9119164669173814	0.933424305852694	0.9583020227889644	0.9536367243536916	0.819628176562256	test	-1.0
12	12.0	12.0	0.0												0.9813096157947352	0.146490856485583	0.9939537493129572	0.9104543484569269	0.9330542481468204	0.9572292384232682	0.9542929524158348	0.818254197326464	test	0.3
13	13.0	0.0													0.9819756415134	0.1439140967919988	0.9942322574361002	0.912449620662177	0.9332970985163	0.9588298525798524	0.9528889295852028	0.819562357994338	test	0.7
14	0.0														0.9818539784141276	0.1452865469379555	0.9941992711110464	0.9119164669173814	0.933424305852694	0.9583020227889644	0.9536367243536916	0.819628176562256	test	1.0
0															0.9818539784141277	0.14528654693795556	0.9941992711110464	0.9119164669173814	0.9334243058526939	0.9583020227889644	0.9536367243536916	0.819628176562256	test	-1.0
