	balanced_accuracy_score	accuracy_score	precision	recall	mcc	AUC	logloss	average_precision	dataset	name	metric_type	analysis_type	sample_frac
0	0.9127783999004604	0.9357798165137615	0.9644970414201184	0.9532163742690059	0.8133033304316922	0.979718800547468	0.24144281060822118	0.9944191469567314	test	model_standard	all_data	standard	-1
1	0.9333333333333335	0.9333333333333335	0.7735294117647059	0.7686274509803923	0.058823529411764705				test	model_standard	per_tree_average	standard	-1
2	1.0	1.0	1.0	1.0	1.0	1.0	0.0012453222090233417	1.0	train	model_standard	all_data	standard	-1
3	1.0	1.0	0.8025316455696202	0.8025316455696202	0.05822784810126582				train	model_standard	per_tree_average	standard	-1
4	0.8328069482826688	0.895	0.9050632911392406	0.959731543624161	0.7122745287767241	0.95499407816818	0.4096136061775998	0.9837642818710381	val	model_standard	all_data	standard	-1
5	0.8715608465608464	0.8978232959850606	0.8715277777777778	0.8787037037037037	0.3028364620746007				val	model_standard	per_tree_average	standard	-1
0	0.5106382978723404	0.7889908256880734	0.7880184331797235	1.0	0.12948493982746326	0.9593131765584173	0.347828435432251	0.9835463460673084	test	raw_only_boot	all_data	bootstrap_support	-1
1	0.7764705882352941	0.7794117647058824	0.7794117647058824	0.8058823529411765	0.0058823529411764705				test	raw_only_boot	per_tree_average	bootstrap_support	-1
2	0.5	0.7706611570247934	0.7706611570247934	1.0	0.0	0.9834915344298722	0.16544911505262833	0.9945428164161726	train	raw_only_boot	all_data	bootstrap_support	-1
3	0.7734177215189874	0.7723628691983123	0.7723628691983123	0.8025316455696202	0.0				train	raw_only_boot	per_tree_average	bootstrap_support	-1
0	0.8856538509394052	0.9174311926605505	0.9526627218934911	0.9415204678362573	0.7598594341139503	0.9540251337563768	0.24577644574822197	0.9819106570291198	test	only_boot	all_data	bootstrap_support	-1
1	0.9166666666666665	0.9166666666666665	0.7588235294117647	0.7578431372549018	0.052941176470588235				test	only_boot	per_tree_average	bootstrap_support	-1
2	0.930717580851629	0.9566115702479339	0.9656084656084656	0.9785522788203753	0.875668379151202	0.9893606743472695	0.10487557919881273	0.9962959531100452	train	only_boot	all_data	bootstrap_support	-1
3	0.9578059071729957	0.9580168776371307	0.7864978902953587	0.7860759493670886	0.049562912073897784				train	only_boot	per_tree_average	bootstrap_support	-1
0	0.9127783999004604	0.9357798165137615	0.9644970414201184	0.9532163742690059	0.8133033304316922	0.9757372153788726	0.288778883239206	0.9931613015508629	test	inc_boot	all_data	bootstrap_support	-1
1	0.9303921568627452	0.9303921568627452	0.7764705882352941	0.7686274509803923	0.06470588235294118				test	inc_boot	per_tree_average	bootstrap_support	-1
2	1.0	1.0	1.0	1.0	1.0	1.0	0.0008560816534122458	1.0	train	inc_boot	all_data	bootstrap_support	-1
3	1.0	1.0	0.8025316455696202	0.8025316455696202	0.05822784810126582				train	inc_boot	per_tree_average	bootstrap_support	-1
0	0.7319273360706731	0.8577981651376146	0.8763440860215054	0.9532163742690059	0.5390107890099943	0.7029986313300983	3.684042733001716	0.8587003720902662	test	raw_only_boot	all_data	feature_aLRT_iqtree_support	-1
1	0.8549019607843138	0.8573529411764705	0.7700980392156862	0.7725490196078432	0.03529411764705882				test	raw_only_boot	per_tree_average	feature_aLRT_iqtree_support	-1
2	0.7276405091418496	0.8533057851239669	0.8647342995169082	0.9597855227882037	0.5441846141019144	0.7125932903412797	3.6767406131918308	0.8525089554531327	train	raw_only_boot	all_data	feature_aLRT_iqtree_support	-1
3	0.8592827004219409	0.8586497890295358	0.7649789029535864	0.7708860759493671	0.029957805907172994				train	raw_only_boot	per_tree_average	feature_aLRT_iqtree_support	-1
0	0.5	0.21559633027522937	0.0	0.0	0.0	0.5	4.132790009828518	0.7844036697247706	test	only_boot	all_data	feature_aLRT_iqtree_support	-1
1	0.22647058823529412	0.22254901960784315	0.0	0.0	0.0				test	only_boot	per_tree_average	feature_aLRT_iqtree_support	-1
2	0.5	0.22933884297520662	0.0	0.0	0.0	0.5	4.060475384797351	0.7706611570247934	train	only_boot	all_data	feature_aLRT_iqtree_support	-1
3	0.22658227848101264	0.22763713080168776	0.0	0.0	0.0				train	only_boot	per_tree_average	feature_aLRT_iqtree_support	-1
0	0.908547965658828	0.8807339449541285	0.9865771812080537	0.8596491228070176	0.7224409458479131	0.9605574219236034	0.549093875094153	0.9884961945445061	test	inc_boot	all_data	feature_aLRT_iqtree_support	-1
1	0.8892156862745099	0.8887254901960785	0.7294117647058823	0.7029411764705882	0.06221970746582133				test	inc_boot	per_tree_average	feature_aLRT_iqtree_support	-1
2	0.9168900804289544	0.871900826446281	1.0	0.8337801608579088	0.7314155957659372	1.0	0.3845208021610645	1.0	train	inc_boot	all_data	feature_aLRT_iqtree_support	-1
3	0.8763713080168776	0.8767932489451477	0.6962025316455697	0.6776371308016876	0.05569620253164557				train	inc_boot	per_tree_average	feature_aLRT_iqtree_support	-1
0	0.729003359462486	0.8532110091743119	0.8756756756756757	0.9473684210526315	0.525503967364139	0.7018788105014309	3.673959097280628	0.857086111180236	test	raw_only_boot	all_data	feature_aBayes_iqtree_support	-1
1	0.8490196078431373	0.8514705882352941	0.7642156862745098	0.7666666666666667	0.03529411764705882				test	raw_only_boot	per_tree_average	feature_aBayes_iqtree_support	-1
2	0.73847305750791	0.8553719008264463	0.8704156479217604	0.9544235924932976	0.5541061050511977	0.697594377219042	3.60956668459382	0.8434546643541643	train	raw_only_boot	all_data	feature_aBayes_iqtree_support	-1
3	0.8605485232067509	0.859493670886076	0.7632911392405063	0.7670886075949367	0.032489451476793246				train	raw_only_boot	per_tree_average	feature_aBayes_iqtree_support	-1
0	0.5	0.21559633027522937	0.0	0.0	0.0	0.5	4.132790009828518	0.7844036697247706	test	only_boot	all_data	feature_aBayes_iqtree_support	-1
1	0.22647058823529412	0.22254901960784315	0.0	0.0	0.0				test	only_boot	per_tree_average	feature_aBayes_iqtree_support	-1
2	0.5	0.22933884297520662	0.0	0.0	0.0	0.5	4.060475384797351	0.7706611570247934	train	only_boot	all_data	feature_aBayes_iqtree_support	-1
3	0.22658227848101264	0.22763713080168776	0.0	0.0	0.0				train	only_boot	per_tree_average	feature_aBayes_iqtree_support	-1
0	0.908547965658828	0.8807339449541285	0.9865771812080537	0.8596491228070176	0.7224409458479131	0.9605574219236034	0.549093875094153	0.9884961945445061	test	inc_boot	all_data	feature_aBayes_iqtree_support	-1
1	0.8892156862745099	0.8887254901960785	0.7294117647058823	0.7029411764705882	0.06221970746582133				test	inc_boot	per_tree_average	feature_aBayes_iqtree_support	-1
2	0.9168900804289544	0.871900826446281	1.0	0.8337801608579088	0.7314155957659372	1.0	0.3845208021610645	1.0	train	inc_boot	all_data	feature_aBayes_iqtree_support	-1
3	0.8763713080168776	0.8767932489451477	0.6962025316455697	0.6776371308016876	0.05569620253164557				train	inc_boot	per_tree_average	feature_aBayes_iqtree_support	-1
